0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,0.41611648,1.4818088,2.8100872,3.0938654,3.295231,4.576806,5.640322,5.858688,5.647669,4.576806,3.295231,3.0947235,2.8377442,1.4913319,0.41611648
0.41611648,0.0,1.0656923,2.3939707,2.677749,2.8791146,4.1606894,5.224206,5.4425716,5.231552,4.1606894,2.8791146,2.678607,2.4216278,1.0752155,0.0
1.4818088,1.0656923,0.0,1.3282784,1.6120566,1.8134223,3.0949974,4.1585135,4.376879,4.16586,3.0949974,1.8134223,1.6129147,1.3559355,0.009523153,1.0656923
2.8100872,2.3939707,1.3282784,0.0,0.2837782,0.4851439,1.7667189,2.830235,3.0486007,2.8375816,1.7667189,0.4851439,0.28463626,0.027657032,1.3187553,2.3939707
3.0938654,2.677749,1.6120566,0.2837782,0.0,0.20136571,1.4829407,2.5464568,2.7648225,2.5538034,1.4829407,0.20136571,0.00085806847,0.25612116,1.6025335,2.677749
3.295231,2.8791146,1.8134223,0.4851439,0.20136571,0.0,1.281575,2.345091,2.5634568,2.3524377,1.281575,0.0,0.20050764,0.45748687,1.8038992,2.8791146
4.576806,4.1606894,3.0949974,1.7667189,1.4829407,1.281575,0.0,1.0635161,1.2818818,1.0708628,0.0,1.281575,1.4820826,1.7390618,3.085474,4.1606894
5.640322,5.224206,4.1585135,2.830235,2.5464568,2.345091,1.0635161,0.0,0.21836567,0.00734663,1.0635161,2.345091,2.5455987,2.802578,4.14899,5.224206
5.858688,5.4425716,4.376879,3.0486007,2.7648225,2.5634568,1.2818818,0.21836567,0.0,0.21101904,1.2818818,2.5634568,2.7639644,3.0209436,4.367356,5.4425716
5.647669,5.231552,4.16586,2.8375816,2.5538034,2.3524377,1.0708628,0.00734663,0.21101904,0.0,1.0708628,2.3524377,2.5529454,2.8099246,4.156337,5.231552
4.576806,4.1606894,3.0949974,1.7667189,1.4829407,1.281575,0.0,1.0635161,1.2818818,1.0708628,0.0,1.281575,1.4820826,1.7390618,3.085474,4.1606894
3.295231,2.8791146,1.8134223,0.4851439,0.20136571,0.0,1.281575,2.345091,2.5634568,2.3524377,1.281575,0.0,0.20050764,0.45748687,1.8038992,2.8791146
3.0947235,2.678607,1.6129147,0.28463626,0.00085806847,0.20050764,1.4820826,2.5455987,2.7639644,2.5529454,1.4820826,0.20050764,0.0,0.25697923,1.6033915,2.678607
2.8377442,2.4216278,1.3559355,0.027657032,0.25612116,0.45748687,1.7390618,2.802578,3.0209436,2.8099246,1.7390618,0.45748687,0.25697923,0.0,1.3464123,2.4216278
1.4913319,1.0752155,0.009523153,1.3187553,1.6025335,1.8038992,3.085474,4.14899,4.367356,4.156337,3.085474,1.8038992,1.6033915,1.3464123,0.0,1.0752155
0.41611648,0.0,1.0656923,2.3939707,2.677749,2.8791146,4.1606894,5.224206,5.4425716,5.231552,4.1606894,2.8791146,2.678607,2.4216278,1.0752155,0.0
