0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,0.41611648,0.9720694,1.6645572,2.785592,3.9354424,4.62793,5.183883,5.5999994,5.19123,4.6184072,3.9077854,2.7864504,1.692214,0.98159254,0.4087696
0.41611648,0.0,0.5559529,1.2484407,2.3694756,3.519326,4.2118134,4.7677665,5.183883,4.775113,4.2022905,3.491669,2.370334,1.2760975,0.56547606,0.0
0.9720694,0.5559529,0.0,0.6924878,1.8135228,2.963373,3.6558607,4.2118134,4.62793,4.2191606,3.6463375,2.935716,1.8143809,0.7201447,0.009523153,1.0656923
1.6645572,1.2484407,0.6924878,0.0,1.1210351,2.2708852,2.963373,3.5193257,3.9354422,3.5266726,2.9538498,2.2432282,1.1218932,0.027656913,1.3187554,2.3749244
2.785592,2.3694756,1.8135228,1.1210351,0.0,1.1498501,1.8423378,2.3982909,2.8144073,2.4056377,1.8328147,1.1221931,0.0008581085,0.25612116,1.5472195,2.6033888
3.9354424,3.519326,2.963373,2.2708852,1.1498501,0.0,0.69248766,1.2484405,1.664557,1.2557874,0.6829645,0.0,0.20050755,0.4557706,1.7468691,2.8030381
4.62793,4.2118134,3.6558607,2.963373,1.8423378,0.69248766,0.0,0.5559529,0.9720694,0.5632998,0.0,1.2815747,1.5097394,1.7650025,3.0561008,4.11227
5.183883,4.7677665,4.2118134,3.5193257,2.3982909,1.2484405,0.5559529,0.0,0.41611648,0.0073468685,1.063516,2.354614,2.5827787,2.8380415,4.12914,5.1853094
5.5999994,5.183883,4.62793,3.9354422,2.8144073,1.664557,0.9720694,0.41611648,0.0,0.21101904,1.2671882,2.5582862,2.7864509,3.0417137,4.3328123,5.388982
5.19123,4.775113,4.2191606,3.5266726,2.4056377,1.2557874,0.5632998,0.0073468685,0.21101904,0.0,1.0561692,2.3472672,2.5754318,2.8306947,4.1217933,5.1779623
4.6184072,4.2022905,3.6463375,2.9538498,1.8328147,0.6829645,0.0,1.063516,1.2671882,1.0561692,0.0,1.2910979,1.5192626,1.7745256,3.065624,4.1217933
3.9077854,3.491669,2.935716,2.2432282,1.1221931,0.0,1.2815747,2.354614,2.5582862,2.3472672,1.2910979,0.0,0.22816458,0.48342764,1.7745261,2.8306952
2.7864504,2.370334,1.8143809,1.1218932,0.0008581085,0.20050755,1.5097394,2.5827787,2.7864509,2.5754318,1.5192626,0.22816458,0.0,0.25526306,1.5463614,2.6025305
1.692214,1.2760975,0.7201447,0.027656913,0.25612116,0.4557706,1.7650025,2.8380415,3.0417137,2.8306947,1.7745256,0.48342764,0.25526306,0.0,1.2910984,2.3472676
0.98159254,0.56547606,0.009523153,1.3187554,1.5472195,1.7468691,3.0561008,4.12914,4.3328123,4.1217933,3.065624,1.7745261,1.5463614,1.2910984,0.0,1.0561692
0.4087696,0.0,1.0656923,2.3749244,2.6033888,2.8030381,4.11227,5.1853094,5.388982,5.1779623,4.1217933,2.8306952,2.6025305,2.3472676,1.0561692,0.0
