0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,0.42535555,0.61408985,0.7546307,0.8122821,0.7546307,0.61408985,0.4253555,1.8161474e-11,0.0,0.02721697,0.18780643,0.24512613,0.18780649,0.02721697,0.0
0.42535555,0.0,0.1887343,0.32927513,0.38692653,0.32927513,0.1887343,0.0,0.0,0.0,0.0,0.013072252,0.07039189,0.013072312,0.0,0.0
0.61408985,0.1887343,0.0,0.14054084,0.19819224,0.14054084,0.0,0.1830136,0.008279443,0.0,0.035496414,0.19608587,0.25340557,0.19608593,0.035496414,0.0
0.7546307,0.32927513,0.14054084,0.0,0.0576514,5.9604645e-08,0.16198629,0.34499988,0.17026573,0.016284466,0.1974827,0.35807216,0.41539192,0.35807222,0.1974827,0.016284466
0.8122821,0.38692653,0.19819224,0.0576514,0.0,0.0574522,0.21943843,0.40245205,0.22771788,0.07373661,0.25493485,0.4155243,0.472844,0.41552436,0.25493485,0.07373655
0.7546307,0.32927513,0.14054084,5.9604645e-08,0.0574522,0.0,0.16198623,0.34499985,0.17026567,0.016284406,0.19748265,0.3580721,0.4153918,0.35807216,0.19748265,0.016284466
0.61408985,0.1887343,0.0,0.16198629,0.21943843,0.16198623,0.0,0.1830136,0.008279443,0.0,0.035496414,0.19608587,0.25340557,0.19608593,0.035496414,0.0
0.4253555,0.0,0.1830136,0.34499988,0.40245205,0.34499985,0.1830136,0.0,0.0,0.0,0.0,0.013072252,0.07039195,0.0130723715,0.0,0.0
1.8161474e-11,0.0,0.008279443,0.17026573,0.22771788,0.17026567,0.008279443,0.0,0.0,0.0,0.02721697,0.18780643,0.24512613,0.18780649,0.02721697,0.0
0.0,0.0,0.0,0.016284466,0.07373661,0.016284406,0.0,0.0,0.0,0.0,0.18119822,0.3417877,0.3991074,0.34178773,0.18119822,0.0
0.02721697,0.0,0.035496414,0.1974827,0.25493485,0.19748265,0.035496414,0.0,0.02721697,0.18119822,0.0,0.16058946,0.21790916,0.16058952,0.0,0.19054967
0.18780643,0.013072252,0.19608587,0.35807216,0.4155243,0.3580721,0.19608587,0.013072252,0.18780643,0.3417877,0.16058946,0.0,0.0573197,5.9604645e-08,0.14193761,0.3324873
0.24512613,0.07039189,0.25340557,0.41539192,0.472844,0.4153918,0.25340557,0.07039195,0.24512613,0.3991074,0.21790916,0.0573197,0.0,0.0577839,0.19972152,0.3902712
0.18780649,0.013072312,0.19608593,0.35807222,0.41552436,0.35807216,0.19608593,0.0130723715,0.18780649,0.34178773,0.16058952,5.9604645e-08,0.0577839,0.0,0.14193761,0.3324873
0.02721697,0.0,0.035496414,0.1974827,0.25493485,0.19748265,0.035496414,0.0,0.02721697,0.18119822,0.0,0.14193761,0.19972152,0.14193761,0.0,0.19054967
0.0,0.0,0.0,0.016284466,0.07373655,0.016284466,0.0,0.0,0.0,0.0,0.19054967,0.3324873,0.3902712,0.3324873,0.19054967,0.0
